Top,node1,Answer,colorChange
3742,12011,0,0
11598,10806,0,0
306929,449105,1,0
2434867,944605,0,0
2432069,221464,1,0
1733332,1728381,1,0
2508,8263,1,0
2431687,213625,1,0
9689,3869,1,0
8676,9689,0,0
917164,927467,0,0
1034361,1113317,0,0
323805,341738,1,0
913947,934348,1,0
306846,343272,0,0
2431687,193814,0,0
306929,322723,0,0
2947,1430,1,0
152121,158511,0,0
316655,350210,1,0
3742,12011,0,1
11598,10806,0,1
306929,449105,1,1
2434867,944605,0,1
2432069,221464,1,1
1733332,1728381,1,1
2508,8263,1,1
2431687,213625,1,1
9689,3869,1,1
8676,9689,0,1
917164,927467,0,1
1034361,1113317,0,1
323805,341738,1,1
913947,934348,1,1
306846,343272,0,1
2431687,193814,0,1
306929,322723,0,1
2947,1430,1,1
152121,158511,0,1
316655,350210,1,1
